option_id,language,value,question_id
10250.0,Russian,"Вести командную игру (совместные действия, общение, выработка общей стратегии)",41
10250.0,English,"Вести командную игру (совместные действия, общение, выработка общей стратегии)",41
10251.0,Russian,"Расслабиться, отдохнуть за игрой",41
10251.0,English,"Расслабиться, отдохнуть за игрой",41
10252.0,Russian,"Ощутить превосходство над противником, быть сильнее/ловче противника",41
10252.0,English,"Ощутить превосходство над противником, быть сильнее/ловче противника",41
10253.0,Russian,"Погрузиться в особую атмосферу (военно-историческую, средневековую, космическую и т. п.)",41
10253.0,English,"Погрузиться в особую атмосферу (военно-историческую, средневековую, космическую и т. п.)",41
10254.0,Russian,"Быть в гуще событий, получить максимум адреналина",41
10254.0,English,"Быть в гуще событий, получить максимум адреналина",41
10255.0,Russian,"Выплеснуть агрессию, снять напряжение",41
10255.0,English,"Выплеснуть агрессию, снять напряжение",41
10256.0,Russian,Выстраивать индивидуальную тактику,41
10256.0,English,Выстраивать индивидуальную тактику,41
10257.0,Russian,"Прокачивать технику/персонажей до последних уровней, получать достижения (ачивки, медали)",41
10257.0,English,"Прокачивать технику/персонажей до последних уровней, получать достижения (ачивки, медали)",41
10258.0,Russian,Полностью погрузиться в игру и забыть о реальности,41
10258.0,English,Полностью погрузиться в игру и забыть о реальности,41
10259.0,Russian,"Освоить тонкости стрельбы, научиться точно рассчитывать попадания, прокачать скилл",41
10259.0,English,"Освоить тонкости стрельбы, научиться точно рассчитывать попадания, прокачать скилл",41
10260.0,Russian,"Другое (укажите, пожалуйста)",41
10260.0,English,"Другое (укажите, пожалуйста)",41
10503.0,Russian,2007,67
10503.0,English,2007,67
10504.0,Russian,2006,67
10504.0,English,2006,67
10334.0,Russian,2005,67
10334.0,English,2005,67
10335.0,Russian,2004,67
10335.0,English,2004,67
10336.0,Russian,2003,67
10336.0,English,2003,67
10337.0,Russian,2002,67
10337.0,English,2002,67
10338.0,Russian,2001,67
10338.0,English,2001,67
10339.0,Russian,2000,67
10339.0,English,2000,67
10340.0,Russian,1999,67
10340.0,English,1999,67
10341.0,Russian,1998,67
10341.0,English,1998,67
10342.0,Russian,1997,67
10342.0,English,1997,67
10343.0,Russian,1996,67
10343.0,English,1996,67
10344.0,Russian,1995,67
10344.0,English,1995,67
10345.0,Russian,1994,67
10345.0,English,1994,67
10346.0,Russian,1993,67
10346.0,English,1993,67
10347.0,Russian,1992,67
10347.0,English,1992,67
10348.0,Russian,1991,67
10348.0,English,1991,67
10349.0,Russian,1990,67
10349.0,English,1990,67
10350.0,Russian,1989,67
10350.0,English,1989,67
10351.0,Russian,1988,67
10351.0,English,1988,67
10352.0,Russian,1987,67
10352.0,English,1987,67
10353.0,Russian,1986,67
10353.0,English,1986,67
10354.0,Russian,1985,67
10354.0,English,1985,67
10355.0,Russian,1984,67
10355.0,English,1984,67
10356.0,Russian,1983,67
10356.0,English,1983,67
10357.0,Russian,1982,67
10357.0,English,1982,67
10358.0,Russian,1981,67
10358.0,English,1981,67
10359.0,Russian,1980,67
10359.0,English,1980,67
10360.0,Russian,1979,67
10360.0,English,1979,67
10361.0,Russian,1978,67
10361.0,English,1978,67
10362.0,Russian,1977,67
10362.0,English,1977,67
10363.0,Russian,1976,67
10363.0,English,1976,67
10364.0,Russian,1975,67
10364.0,English,1975,67
10365.0,Russian,1974,67
10365.0,English,1974,67
10366.0,Russian,1973,67
10366.0,English,1973,67
10367.0,Russian,1972,67
10367.0,English,1972,67
10368.0,Russian,1971,67
10368.0,English,1971,67
10369.0,Russian,1970,67
10369.0,English,1970,67
10370.0,Russian,1969,67
10370.0,English,1969,67
10371.0,Russian,1968,67
10371.0,English,1968,67
10372.0,Russian,1967,67
10372.0,English,1967,67
10373.0,Russian,1966,67
10373.0,English,1966,67
10374.0,Russian,1965,67
10374.0,English,1965,67
10375.0,Russian,1964,67
10375.0,English,1964,67
10376.0,Russian,1963,67
10376.0,English,1963,67
10377.0,Russian,1962,67
10377.0,English,1962,67
10378.0,Russian,1961,67
10378.0,English,1961,67
10379.0,Russian,1960,67
10379.0,English,1960,67
10380.0,Russian,1959,67
10380.0,English,1959,67
10381.0,Russian,1958,67
10381.0,English,1958,67
10382.0,Russian,1957,67
10382.0,English,1957,67
10383.0,Russian,1956,67
10383.0,English,1956,67
10384.0,Russian,1955,67
10384.0,English,1955,67
10385.0,Russian,1954,67
10385.0,English,1954,67
10386.0,Russian,1953,67
10386.0,English,1953,67
10387.0,Russian,1952,67
10387.0,English,1952,67
10388.0,Russian,1951,67
10388.0,English,1951,67
10389.0,Russian,1950,67
10389.0,English,1950,67
10390.0,Russian,1949,67
10390.0,English,1949,67
10391.0,Russian,1948,67
10391.0,English,1948,67
10392.0,Russian,1947,67
10392.0,English,1947,67
10393.0,Russian,1946,67
10393.0,English,1946,67
10394.0,Russian,1945,67
10394.0,English,1945,67
10395.0,Russian,1944,67
10395.0,English,1944,67
10396.0,Russian,1943,67
10396.0,English,1943,67
10397.0,Russian,1942,67
10397.0,English,1942,67
10398.0,Russian,1941,67
10398.0,English,1941,67
10399.0,Russian,1940,67
10399.0,English,1940,67
10400.0,Russian,1939,67
10400.0,English,1939,67
10401.0,Russian,1938,67
10401.0,English,1938,67
10402.0,Russian,1937,67
10402.0,English,1937,67
10403.0,Russian,1936,67
10403.0,English,1936,67
10404.0,Russian,1935,67
10404.0,English,1935,67
10405.0,Russian,1934,67
10405.0,English,1934,67
10406.0,Russian,1933,67
10406.0,English,1933,67
10407.0,Russian,1932,67
10407.0,English,1932,67
10408.0,Russian,1931,67
10408.0,English,1931,67
10409.0,Russian,1930,67
10409.0,English,1930,67
10410.0,Russian,1929,67
10410.0,English,1929,67
10411.0,Russian,1928,67
10411.0,English,1928,67
10412.0,Russian,1927,67
10412.0,English,1927,67
10413.0,Russian,1926,67
10413.0,English,1926,67
10414.0,Russian,1925,67
10414.0,English,1925,67
10415.0,Russian,1924,67
10415.0,English,1924,67
10416.0,Russian,1923,67
10416.0,English,1923,67
10417.0,Russian,1922,67
10417.0,English,1922,67
10418.0,Russian,1921,67
10418.0,English,1921,67
10419.0,Russian,1920,67
10419.0,English,1920,67
10420.0,Russian,1919,67
10420.0,English,1919,67
10421.0,Russian,1918,67
10421.0,English,1918,67
10422.0,Russian,1917,67
10422.0,English,1917,67
10423.0,Russian,1916,67
10423.0,English,1916,67
10250.0,Russian,"Вести командную игру (совместные действия, общение, выработка общей стратегии)",41
10250.0,English,"Вести командную игру (совместные действия, общение, выработка общей стратегии)",41
10251.0,Russian,"Расслабиться, отдохнуть за игрой",41
10251.0,English,"Расслабиться, отдохнуть за игрой",41
10252.0,Russian,"Ощутить превосходство над противником, быть сильнее/ловче противника",41
10252.0,English,"Ощутить превосходство над противником, быть сильнее/ловче противника",41
10253.0,Russian,"Погрузиться в особую атмосферу (военно-историческую, средневековую, космическую и т. п.)",41
10253.0,English,"Погрузиться в особую атмосферу (военно-историческую, средневековую, космическую и т. п.)",41
10254.0,Russian,"Быть в гуще событий, получить максимум адреналина",41
10254.0,English,"Быть в гуще событий, получить максимум адреналина",41
10255.0,Russian,"Выплеснуть агрессию, снять напряжение",41
10255.0,English,"Выплеснуть агрессию, снять напряжение",41
10256.0,Russian,Выстраивать индивидуальную тактику,41
10256.0,English,Выстраивать индивидуальную тактику,41
10257.0,Russian,"Прокачивать технику/персонажей до последних уровней, получать достижения (ачивки, медали)",41
10257.0,English,"Прокачивать технику/персонажей до последних уровней, получать достижения (ачивки, медали)",41
10258.0,Russian,Полностью погрузиться в игру и забыть о реальности,41
10258.0,English,Полностью погрузиться в игру и забыть о реальности,41
10259.0,Russian,"Освоить тонкости стрельбы, научиться точно рассчитывать попадания, прокачать скилл",41
10259.0,English,"Освоить тонкости стрельбы, научиться точно рассчитывать попадания, прокачать скилл",41
10260.0,Russian,"Другое (укажите, пожалуйста)",41
10260.0,English,"Другое (укажите, пожалуйста)",41
10503.0,Russian,2007,67
10503.0,English,2007,67
10504.0,Russian,2006,67
10504.0,English,2006,67
10334.0,Russian,2005,67
10334.0,English,2005,67
10335.0,Russian,2004,67
10335.0,English,2004,67
10336.0,Russian,2003,67
10336.0,English,2003,67
10337.0,Russian,2002,67
10337.0,English,2002,67
10338.0,Russian,2001,67
10338.0,English,2001,67
10339.0,Russian,2000,67
10339.0,English,2000,67
10340.0,Russian,1999,67
10340.0,English,1999,67
10341.0,Russian,1998,67
10341.0,English,1998,67
10342.0,Russian,1997,67
10342.0,English,1997,67
10343.0,Russian,1996,67
10343.0,English,1996,67
10344.0,Russian,1995,67
10344.0,English,1995,67
10345.0,Russian,1994,67
10345.0,English,1994,67
10346.0,Russian,1993,67
10346.0,English,1993,67
10347.0,Russian,1992,67
10347.0,English,1992,67
10348.0,Russian,1991,67
10348.0,English,1991,67
10349.0,Russian,1990,67
10349.0,English,1990,67
10350.0,Russian,1989,67
10350.0,English,1989,67
10351.0,Russian,1988,67
10351.0,English,1988,67
10352.0,Russian,1987,67
10352.0,English,1987,67
10353.0,Russian,1986,67
10353.0,English,1986,67
10354.0,Russian,1985,67
10354.0,English,1985,67
10355.0,Russian,1984,67
10355.0,English,1984,67
10356.0,Russian,1983,67
10356.0,English,1983,67
10357.0,Russian,1982,67
10357.0,English,1982,67
10358.0,Russian,1981,67
10358.0,English,1981,67
10359.0,Russian,1980,67
10359.0,English,1980,67
10360.0,Russian,1979,67
10360.0,English,1979,67
10361.0,Russian,1978,67
10361.0,English,1978,67
10362.0,Russian,1977,67
10362.0,English,1977,67
10363.0,Russian,1976,67
10363.0,English,1976,67
10364.0,Russian,1975,67
10364.0,English,1975,67
10365.0,Russian,1974,67
10365.0,English,1974,67
10366.0,Russian,1973,67
10366.0,English,1973,67
10367.0,Russian,1972,67
10367.0,English,1972,67
10368.0,Russian,1971,67
10368.0,English,1971,67
10369.0,Russian,1970,67
10369.0,English,1970,67
10370.0,Russian,1969,67
10370.0,English,1969,67
10371.0,Russian,1968,67
10371.0,English,1968,67
10372.0,Russian,1967,67
10372.0,English,1967,67
10373.0,Russian,1966,67
10373.0,English,1966,67
10374.0,Russian,1965,67
10374.0,English,1965,67
10375.0,Russian,1964,67
10375.0,English,1964,67
10376.0,Russian,1963,67
10376.0,English,1963,67
10377.0,Russian,1962,67
10377.0,English,1962,67
10378.0,Russian,1961,67
10378.0,English,1961,67
10379.0,Russian,1960,67
10379.0,English,1960,67
10380.0,Russian,1959,67
10380.0,English,1959,67
10381.0,Russian,1958,67
10381.0,English,1958,67
10382.0,Russian,1957,67
10382.0,English,1957,67
10383.0,Russian,1956,67
10383.0,English,1956,67
10384.0,Russian,1955,67
10384.0,English,1955,67
10385.0,Russian,1954,67
10385.0,English,1954,67
10386.0,Russian,1953,67
10386.0,English,1953,67
10387.0,Russian,1952,67
10387.0,English,1952,67
10388.0,Russian,1951,67
10388.0,English,1951,67
10389.0,Russian,1950,67
10389.0,English,1950,67
10390.0,Russian,1949,67
10390.0,English,1949,67
10391.0,Russian,1948,67
10391.0,English,1948,67
10392.0,Russian,1947,67
10392.0,English,1947,67
10393.0,Russian,1946,67
10393.0,English,1946,67
10394.0,Russian,1945,67
10394.0,English,1945,67
10395.0,Russian,1944,67
10395.0,English,1944,67
10396.0,Russian,1943,67
10396.0,English,1943,67
10397.0,Russian,1942,67
10397.0,English,1942,67
10398.0,Russian,1941,67
10398.0,English,1941,67
10399.0,Russian,1940,67
10399.0,English,1940,67
10400.0,Russian,1939,67
10400.0,English,1939,67
10401.0,Russian,1938,67
10401.0,English,1938,67
10402.0,Russian,1937,67
10402.0,English,1937,67
10403.0,Russian,1936,67
10403.0,English,1936,67
10404.0,Russian,1935,67
10404.0,English,1935,67
10405.0,Russian,1934,67
10405.0,English,1934,67
10406.0,Russian,1933,67
10406.0,English,1933,67
10407.0,Russian,1932,67
10407.0,English,1932,67
10408.0,Russian,1931,67
10408.0,English,1931,67
10409.0,Russian,1930,67
10409.0,English,1930,67
10410.0,Russian,1929,67
10410.0,English,1929,67
10411.0,Russian,1928,67
10411.0,English,1928,67
10412.0,Russian,1927,67
10412.0,English,1927,67
10413.0,Russian,1926,67
10413.0,English,1926,67
10414.0,Russian,1925,67
10414.0,English,1925,67
10415.0,Russian,1924,67
10415.0,English,1924,67
10416.0,Russian,1923,67
10416.0,English,1923,67
10417.0,Russian,1922,67
10417.0,English,1922,67
10418.0,Russian,1921,67
10418.0,English,1921,67
10419.0,Russian,1920,67
10419.0,English,1920,67
10420.0,Russian,1919,67
10420.0,English,1919,67
10421.0,Russian,1918,67
10421.0,English,1918,67
10422.0,Russian,1917,67
10422.0,English,1917,67
10423.0,Russian,1916,67
10423.0,English,1916,67
